emoji_handle,emoji_link,section
lips,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/lips.png,People
kiss,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/kiss.png,People
droplet,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/droplet.png,People
ear,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/ear.png,People
eyes,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/eyes.png,People
nose,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/nose.png,People
tongue,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/tongue.png,People
love_letter,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/love_letter.png,People
bust_in_silhouette,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/bust_in_silhouette.png,People
busts_in_silhouette,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/busts_in_silhouette.png,People
speech_balloon,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/speech_balloon.png,People
thought_balloon,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/thought_balloon.png,People
feelsgood,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/feelsgood.png,People
finnadie,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/finnadie.png,People
goberserk,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/goberserk.png,People
godmode,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/godmode.png,People
hurtrealbad,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/hurtrealbad.png,People
rage1,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/rage1.png,People
rage2,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/rage2.png,People
rage3,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/rage3.png,People
rage4,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/rage4.png,People
suspect,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/suspect.png,People
trollface,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/trollface.png,People
sunny,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/sunny.png,Nature
umbrella,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/umbrella.png,Nature
cloud,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/cloud.png,Nature
snowflake,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/snowflake.png,Nature
snowman,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/snowman.png,Nature
zap,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/zap.png,Nature
cyclone,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/cyclone.png,Nature
