name,number,type
30620-腾讯社交广告自然语言处理工程师（微信广告 深圳）,2,技术类
22989-腾讯云计算机视觉算法研究员（深圳，北京）,1,技术类
22989-人工智能算法专家（NLP方向）（深圳/成都/上海/北京）,2,技术类
EC-高级品牌经理（深圳）,1,职能类
TEG12-数据中心建筑设计师（深圳）,1,技术类
27092-应用宝游戏用户运营（深圳）,1,产品/项目类
CSIG16-自动驾驶仿真模拟系统-车辆动力学工程师（北京）,1,技术类
CSIG16-车联网后台开发工程师,1,技术类
CSIG16-自动驾驶云平台虚拟化工程师（北京）,1,技术类
15573-欧美写实SLG手游3D动画特效设计师（上海）,1,设计类
18428-财付通组件平台高级研发工程师,1,技术类
TEG09-接入业务后台开发工程师（深圳）,2,技术类
27092-商务合作拓展经理（深圳）,2,市场类
18402-国内刺激战场-本地化及商业化,1,产品/项目类
25925-智能AI高级产品经理（深圳）,1,产品/项目类
HY6-产品运营经理（深圳）,2,产品/项目类
23872-游戏市场商业分析（深圳）,2,市场类
30620-腾讯广告微信朋友圈产品运营经理（微信广告 深圳）,1,产品/项目类
TEG03-数据挖掘工程师（深圳）,1,技术类
WXG03-122 小程序算法工程师（广州）,3,技术类
15605-航海王IP动作游戏UE4客户端开发工程师（深圳）,1,技术类
TME-腾讯音乐后台质量测试工程师（深圳）,2,技术类
TME-腾讯音乐Web质量测试工程师（深圳）,3,技术类
TEG12-IDC高级规划师(深圳）,1,技术类
26699-智慧零售后台开发工程师,1,技术类
26699-智慧零售前端开发工程师（深圳）,1,技术类
TEG06-Mac终端安全运营高级工程师（深圳）,1,技术类
21309-在线教育高级交互设计师（深圳）,2,设计类
19157-政府安全合作项目技术实施工程师（北京）,1,技术类
RP-UI视觉设计师,1,设计类
CDG-HRBP-AMS（北京）,1,职能类
TME-全民K歌音频直播运营,1,产品/项目类
TME-全民K歌渠道运营经理（深圳）,1,产品/项目类
21087-渠道管理,1,产品/项目类
23671-企鹅号后台开发高级工程师（深圳）,1,技术类
PCG09-信息流平台高级产品经理,1,产品/项目类
27730-推荐算法工程师,1,技术类
19332-企点渠道销售经理岗（深圳）,1,市场类
PCG09-信息流项目经理,1,产品/项目类
26787-游戏合作商务,1,市场类
30934-海外市场推广项目经理 Project Manager of International Marketing ,1,产品/项目类
26787-应用市场商务合作经理（深圳总部）,1,市场类
S2-S系统财务管理（深圳）,1,职能类
23518-移动游戏市场流量分析运营,1,产品/项目类
16810-腾讯动漫数据挖掘算法工程师,1,技术类
PCG14-应用宝合作渠道产品经理（深圳）,1,产品/项目类
27092-应用宝广告合作产品策划经理（深圳）,1,产品/项目类
30628-腾讯广告算法高级工程师（研发中心-深圳）,1,技术类
CSIG16-地图众包高级产品经理(北京）,2,产品/项目类
17759-腾讯视频内容分析师（北京）,1,内容编辑类
30934-SLG海外手游运营策划（深圳）,1,产品/项目类
25928-后台测试开发工程师（深圳）,1,技术类
15605-火影手游服务器开发工程师（深圳）,1,技术类
WXG01-117 微信iOS功能开发工程师（广州）,2,技术类
TEG14-高级web前端开发工程师（深圳）,1,技术类
TEG09-存储平台研发组长（深圳）,1,技术类
26787-应用市场商务合作经理（北京）,1,市场类
CSIG17-X86体系结构工程师,1,技术类
CSIG17-Linux内核优化工程师,1,技术类
15605-高级海外项目经理（深圳）,1,产品/项目类
TEG02-高级业务保障工程师（深圳）,2,技术类
30620-腾讯广告微信广告渠道合作产品运营经理（深圳）,1,产品/项目类
15605-航海王IP动作游戏UE4 引擎开发工程师（深圳）,1,技术类
WXG03-115 小程序 iOS 开发工程师（广州）,1,技术类
15571-Unreal客户端开发工程师,1,技术类
TME-全民K歌多媒体设计师（深圳）,1,设计类
19822-影视制片经理（北京）,2,产品/项目类
25924-运营开发高级工程师（上海）,2,技术类
21229-体育类游戏产品运营（上海）,2,产品/项目类
21229-体育类游戏策划（上海）,1,产品/项目类
21530-腾讯音乐职业发展经理,1,职能类
27192-互娱市场与用户研究经理（海外方向）（深圳）,1,市场类
TEG09-推荐系统后台开发工程师（深圳）,2,技术类
S2-电竞合资公司财务总监,1,职能类
TEG03-FPGA开发工程师（深圳）,1,技术类
26699-智慧零售项目经理,2,市场类
20503-计算机视觉高级研究员（上海）,1,技术类
TME-全民K歌图形图像算法工程师（深圳）,2,技术类
18425-自然语言处理高级工程师（深圳）,1,技术类
WXG08-511 微信事业群部门秘书（深圳）,1,职能类
15570-端游客户端开发工程师,1,技术类
FWZ-数据及隐私中心法律顾问（北京）,1,职能类
TME-QQ音乐粉丝社区运营经理（深圳）,1,产品/项目类
TEG07-CDC高级视觉设计师（深圳）,3,设计类
21309-初高中英语教研教学老师（北京）,1,产品/项目类
21309-企鹅辅导社群运营经理,1,产品/项目类
27092-应用宝渠道管理经理（深圳）,1,市场类
PCG09-信息流视频后台方案架构师,2,技术类
25667-腾讯云高级数据分析师（深圳）,1,技术类
30620-腾讯广告高级后台开发工程师（微信广告 深圳）,1,技术类
CSIG08-安全业务技术高级架构师（北京）,1,技术类
27730-产品经理（用户增长方向）（深圳/北京）,2,产品/项目类
28598-WEB前端开发工程师,1,技术类
27564-体育游戏内容合作,1,产品/项目类
23295-互娱移动游戏社区产品经理（深圳）,2,产品/项目类
23295-互娱移动游戏社区运营经理（深圳）,1,产品/项目类
27564-足球类游戏运营（深圳）,2,产品/项目类
TEG05-大数据软件开发工程师（深圳）,1,技术类
TEG05-高级后台开发工程师（深圳）,1,技术类
21309-高中数学教研教学老师（深圳）,1,产品/项目类
ZL-商业分析经理(CSIG）,1,市场类
23294-互娱WeGame端游平台品牌经理（深圳）,1,市场类
18428-腾讯金融业务后台研发工程师(深圳),2,技术类
CSIG17-Android测试开发资深工程师,1,技术类
CSIG16-AI智能信息流产品运营-内容运营,1,产品/项目类
23673-兴趣PUSH运营,1,内容编辑类
TEG10-云计算规划工程师（深圳）,1,技术类
32032-高级游戏策划（上海）,1,产品/项目类
25666-投标策略高级经理（北京）,1,市场类
